Translation #,Category,Wireframe Ref,KMCO Internal Category Name,KMCO Internal Field Code,Field Name,Original KMCO US English Copy,FOX Copy Edit - US English,Australia / ME English (FX),English Description,Russian,German,Turkish,Italian,Bulgarian,Serbian,Slovenian,Japanese,Chinese (Traditional),UK / Philippines (FOX),ME Arabic,Polish,Netherlands,Spanish (ES),Brazil,South East Asia - English (FOX Movies Premium)
AT801,Android,,,,,Done,Done,Done,Done,Готово,Fertig,Tamam,Fatto,Потвърди,Gotovo,,完了,完成,Done,تم,Zrobione,Klaar,Hecho,Feito,Done
AT001,Canvas,6,C/Rails,C,main_title,Walking Dead Yourself!,Walking Dead Yourself!,Walking Dead Yourself!,Walking Dead Yourself!,Зомбилук за 3 клика,Walking Dead Yourself!,Kendini Zombi Yap!,Walking Dead Yourself! Condividi il virus…,Стани един от Живите мъртви!,Okružite se mrtvima!,,Walking Dead Yourself!,化身陰屍路！,Walking Dead Yourself!,Walking Dead Yourself تطبيق ,Przerób się na The Walking Dead!,Dead Yourself!,¡Conviértete en un zombie de The Walking Dead!,Vire um zumbi de The Walking Dead!,Walking Dead Yourself!
AT802,Android,,,,,Sharing to the Public Gallery requires an active internet connection. Please verify your connection and try again.,Sharing to the Public Gallery requires an active internet connection. Please verify your connection and try again.,Sharing to the Public Gallery requires an active internet connection. Please verify your connection and try again.,Sharing to the Public Gallery requires an active internet connection. Please verify your connection and try again.,"Приложение требует подключения к сети Интернет. Пожалуйста, проверьте ваше соединение и попробуйте еще раз",Du benötigst eine aktive Internetverbindung. Bitte prüfe deine Verbindung und versuche es erneut.,Bu özellik etkin bir internet bağlantısı gerektiriyor. Lütfen bağlantını kontrol et ve yeniden dene.,Questa funzionalità richiede una connessione Internet attiva. Verifica la tua connessione e riprova.,"Това действие изисква активна интернет връзка. Моля, уверете се, че сте свързани с интернет, преди да продължите",Ova funkcija zahteva pristup internetu. Molimo vas da proverite svoju vezu sa internetom i pokušajte ponovo.,,この機能はインターネットへの接続が必要です。接続されているかを確認して、もう一度やり直してください,這個功能需要網路連線。請確認你的連線狀態後再試一次。,Sharing to the Public Gallery requires an active internet connection. Please verify your connection and try again.,تتطلب هذه الخاصية اتصالاً بالإنترنت. يرجى التحقق من الاتصال وإعادة المحاولة,Ta funkcja wymaga połączenia z Internetem. Sprawdź połączenie i spróbuj ponownie.,Je hebt een werkende verbinding nodig om te kunnen delen met de openbare galerij. Controleer je verbinding en probeer opnieuw.,"Esta función requiere una conexión a Internet activa. Por favor, comprueba tu conexión y vuelve a intentarlo.","Esta função requer uma conexão ativa com a Internet. Por favor, teste sua conexão e tente novamente.",Sharing to the Public Gallery requires an active internet connection. Please verify your connection and try again.
AT803,Android,,,,,Authenticate,Authenticate,Authenticate,Authenticate,,Authentifizierung,Doğrula,,,,,,,Authenticate,,Potwierdź,Authenticatie,Autentificar,Autentificar,Authenticate
AT804,Android,,,,,Share,Share,Share,Share,Поделиться,Teilen,Paylaş,Condividi,Сподели,Podeli,,シェア,分享,Share,مشاركة,Udostępnij,Deel,Compartir,Compartilhar,Share
AT805,Android,,,,,Your Installed Kams,Your Installed Kams,Your Installed Kams,Your Installed Kams,,Deine installierten Kameras,Kams'i kurdun,Le tue Kam installate,,,,,,Your Installed Kams,,Aparat,Je geïnstalleerde cams,Tus Kams instaladas,Suas Kams instaladas,Your Installed Kams
AT806,Android,,,,,GALLERIES,Galleries,Galleries,Galleries,Галереи,Galerien,Galeriler,Gallerie,Галерии,Galerije,,ギャラリー,藝廊,Galleries,معارض الصور,Galerie,Galerijen,Galerías,Galerias,Galleries
AT807,Android,,,,,ABOUT,About,About,About,Описание,Über,Hakkında,Info,За,O nama,,基本データ,關於,About,عن,Opis ,Over,Acerca de…,Sobre,About
AT808,Android,,,,,SETTINGS,Settings,Settings,Settings,Настройки,Einstellungen,Ayarlar,Impostazioni,Настройки,Podešavanja,,設定,設定,Settings,الإعدادات,Ustawienia,Instellingen,Ajustes,Ajustes,Settings
AT809,Android,,,,,Posting Guidelines,Kullanım Kurallarını yüklüyor,Posting Guidelines,Posting Guidelines,,Posting-Richtlinien,,Linee guida per pubblicare,,,,,,Posting Guidelines,,Wskazówki jak opublikować,Regels voor posten,Publicando directrices,Publicando Guias,Posting Guidelines
AT810,Android,,,,,Contact Us,Contact Us,Contact Us,Contact Us,Свяжитесь с нами,Kontaktiere uns,Bize ulaş,Contattaci,Свържи се с нас,Kontaktirajte nas,,お問い合わせ,聯絡我們,Contact Us,اتصل بنا,Skontaktuj się z nami,Contact,Contactar,Contate-nos,Contact Us
AT811,Android,,,,,Local,Local,Local,Local,,Lokal,Yerel,Locale,,,,,,Local,,Lokalnie,Lokaal,Local,Local,Local
AT812,Android,,,,,Error saving to local gallery,Error saving to local gallery,An error occurred while saving your photo. Please try again,Error saving to local gallery,"При сохранении вашей фотографии произошла ошибка. Пожалуйста, попробуйте еще раз","Ein Fehler ist aufgetreten, während dein Foto gespeichert wurde. Bitte versuche es erneut.",Fotoğrafını kaydederken bir hata oluştu. Lütfen tekrar dene.,Durante il salvataggio della tua foto si è verificato un errore. Riprova,"Станала е грешка при запазването на вашата снимка. Моля, опитайте отново.",Došlo je do greške u čuvanju vaše fotografije. Molimo vas da pokušate ponovo.,,写真をセーブ中にエラーが発生しました。もう一度やり直してください,當儲存你的照片時發生錯誤。請再試一次,An error occurred while saving your photo. Please try again,حدث خطأ أثناء حفظ صورتك. يرجى إعادة المحاولة,Wystąpił błąd w trakcie zapisywania zdjęcia. Spróbuj ponownie ,Fout bij het opslaan in galerij.,"Se produjo un error al guardar la foto. Por favor, inténtalo de nuevo","Ocorreu um erro ao salvar a foto. Por favor, tente novamente.",Error saving to local gallery
AT813,Android,,,,,Downloading...,Downloading...,Downloading...,Downloading...,,Download läuft…,İndiriyor...,Scaricamento...,,,,,,Downloading...,يتم التحميل,Pobieranie,Downloaden,Descargando...,Descarregando...,Downloading...
AT814,Android,,,,,Downloaded:,Downloaded:,Downloaded:,Downloaded:,,Heruntergeladen:,İndi:,Scaricato:,,,,,,Downloaded:,تم التحميل,Pobrano,Gedownload,Descargado:,Descarregado:,Downloaded:
AT815,Android,,,,,of,of,/,of,/,/,/,/,/,/,,/,/,of,/,/,/,/,/,of
AT816,Android,,,,,failed,failed,,failed,,Fehler,başarısız,errore,,,,,,failed,لم يتم,Błąd,fout,Error,Erro,failed
AT817,Android,,,,,Browse by channel,Browse by channel,,Browse by channel,,Nach Channel durchsuchen,Kanala göre gözat,Sfoglia per canale,,,,,,Browse by channel,تصفح القناة,Szukaj po kanałach,Blader door kanaal,Navegar por canal,Navegar por canal,Browse by channel
AT818,Android,,,,,My Photos,My Photos,,My Photos,,Meine Fotos,Fotoğraflarım,Le mie foto,,,,,,My Photos,صوري,Moje zdjęcia,Mijn foto's,Mis fotos,Minhas fotos,My Photos
AT819,Android,,,,,Friends' Photos,Friends' Photos,,Friends' Photos,,Fotos von Freunden,Arkadaşlarımın Fotoğrafları,Le foto degli amici,,,,,,Friends' Photos,صور اصدقائي,Zdjęcia znajomych,Foto's van vrienden,Fotos de mis amigos,Fotos dos meus amigos,Friends' Photos
AT820,Android,,,,,All Photos,All Photos,,All Photos,,Alle Fotos,Tüm Fotoğraflar,Tutte le foto,,,,,,All Photos,جميع صور ,Wszystkie zdjęcia,Alle foto's,Todas las fotos,Todas as fotos,All Photos
AT821,Android,,,,,Posting Guidelines,Posting Guidelines,,Posting Guidelines,,Posting-Richtlinien,Kullanım Kurallarını yüklüyor,Linee guida per pubblicare,,,,,,Posting Guidelines,دليل الموجز,Wskazówki jak opublikować,Regels voor posten,Publicando directrices,Publicando Guias,Posting Guidelines
AT822,Android,,,,,Join the fun! Tap here to make a picture.,Join the fun! Tap here to make a picture.,,Join the fun! Tape here to make a picture.,,Mach mit! Klicke hier um ein Foto aufzunehmen.,Eğlenceye katıl! Fotoğraf oluşturmak için buraya tıkla!,Gioca con noi! Tocca qui per creare una foto.,,,,,,Join the fun! Tap here to make a picture.,إنضم إلى المتعة! انقر هنا لتصنيع صورتك,Dołącz do nas! Naciśnij i rób zdjęcie,Get infected! Klik hier om een foto te maken.,Únete a la diversión! Toca aquí para sacar una foto,Junte-se à diversão! Toque aqui para tirar uma foto.,Join the fun! Tap here to make a picture.
AT841,,,,,,Season 4,Season 4,,Season 4,,Staffel 4,Sezon 4,Stagione 4,,,,,,Season 4,الموسم الرابع,Sezon 4,Seizoen 4,Temporada 4,Temporada 4,
AT842,,,,,,All new walker parts.,All new walker parts.,,All new walker parts,,Neue Zombie-Items.,Yeni zombilerin köşesi,Tutte le nuove parti zombie,,,,,,All new walker parts.,أجزاء زومبية جديدة,Nowe akcesoria zombie,Nieuwe onderdelen,Nuevos accesorios zombies,Novos acessórios zumbis,
AT843,,,,,,DY Classic,DY Classic,,DY Classic,,Dead Yourself Klassiker,DY Classic,DY Classic,,,,,,DY Classic,,DY Classic,DY Classic,DY Classic,DY Classic,
AT844,,,,,,Get your walker on!,Get your walker on!,,Get your walker on!,,Werde zum Zombie!,Zombini harekete geçir!,Procedi col tuo zombie!,,,,,,Get your walker on!,,Stwórz swoje zombie!,Get infected!,Prepara tu caminante!,Prepare seu zumbi!,
AT845,,,,,,,,,,,,,,,,,,,,,,,,,
AT846,,,,,,,,,,,,,,,,,,,,,,,,,
AT847,,,,,,,,,,,,,,,,,,,,,,,,,
AT848,,,,,,,,,,,,,,,,,,,,,,,,,
AT849,,,,,,Bite a friend,Bite a friend,,Bite a friend,,Freund beissen,Bir arkadaşını ısır,Mordi un amico,,,,,,Bite a friend,,Ugryź znajomego,Bite a friend,Muerde a un amigo,Morda um amigo,
AT850,,,,,,Pick a friend,Pick a friend,,Pick a friend,,Freund auswählen,Bir arkadaşını seç,Scegli un amico,,,,,,Pick a friend,إختر صديق,Wybierz znajomego,Kies een vriend,Escoge a un amigo,Escolha um amigo,
AT851,,,,,,Photos of,Photos of,,Photos of,,Fotos von,Fotoğrafları,Foto di,,,,,,Photos of,صور,Zdjęcia,Foto's van,Fotos de,Fotos de,
AT852,,,,,,Select a photo,Select a photo,,Select a photo,,Foto auswählen,Bir fotoğraf seç,Seleziona una foto,,,,,,Select a photo,إختر صورة,Wybierz zdjęcie,Kies een foto,Selecciona una foto,Selecione uma foto,
AT853,,,,,,"Pinch your photo to resize it, and tap the checkbox when you're ready to continue","Pinch your photo to resize it, and tap the checkbox when you're ready to continue",,"Pinch your photo to resize it, and tap the checkbox when you're ready to continue",,Tippe das Foto an um die Größe zu verändern. Klicke die Check-Box um fortzufahren,Fotoğrafını yeniden boyutlandırmak için tut ve devam etmeye hazır olduğunda onay kutusuna tıkla,Ridimensiona la foto con le dita. Al termine tocca la casella di spunta per continuare,,,,,,"Pinch your photo to resize it, and tap the checkbox when you're ready to continue",,Rozszerz palcami zdjęcie by uzyskać odpowiedni rozmiar. Zaznacz pole wyboru żeby kontynuować.,"Zet de foto in het juiste formaat, en ga door als je klaar bent.","Pellizqua la foto para cambiar su tamaño, y toca la casilla de verificación cuando estés listo para continuar",Belisque sua foto para mudar seu tamanho e toque a caixa de verificação quando estiver pronto para continuar,
AT854,,,,,,Share back to Facebook to let ____ know they've been bitten,Share back to Facebook to let ____ know they've been bitten,,Share back to Facebook to let ___ know they've been bitten,,"Auf Facebook teilen! Zeige _____ was der Zombie-Virus
angerichtet hat!",Isırıldıklarından haberdar etmek için ____ Facebook'ta paylaş,Condividi di nuovo su Facebook per far sapere a ____ che sono stati morsi,,,,,,Share back to Facebook to let ____ know they've been bitten,,"Udostepnij ponownie na Facebooku i powiadom ____ , że zostałeś ugryziony.",Deel met Facebook om ___ te laten weten dat ze infected zijn.,Comparte de nuevo en Facebook para hacer saber a ___ que ha sido mordido!,Compartilhe de novo no Facebook para saberem que você foi mordido,
AT855,,,,,,"Or, share via:","Or, share via:",,"Or, share via:",,Oder teile über:,"Yada, ile paylaş:",Oppure condividi tramite:,,,,,,"Or, share via:",,Lub udostępnij przez:,"Of, deel via:",O comparte vía:,Ou compartilhe via:,
